key,name,region,sector,tracks,domain,careers_url,ats,token,source_index,notes
anthropic,Anthropic,US,technology,"ai,devtools",anthropic.com,,greenhouse,anthropic,seed,many PM roles
openai,OpenAI,US,technology,ai,openai.com,https://openai.com/careers,,,seed,
databricks,Databricks,US,technology,"ai,data,devtools",databricks.com,,greenhouse,databricks,seed,large board
vercel,Vercel,US,technology,devtools,vercel.com,,greenhouse,vercel,seed,
figma,Figma,US,technology,"devtools,saas",figma.com,,greenhouse,figma,seed,
ramp,Ramp,US,technology,fintech,ramp.com,https://ramp.com/careers,,,seed,likely ashby
linear,Linear,US,technology,devtools,linear.app,https://linear.app/careers,,,seed,likely ashby
notion,Notion,US,technology,"saas,devtools",notion.so,https://notion.so/careers,,,seed,
retool,Retool,US,technology,devtools,retool.com,https://retool.com/careers,,,seed,
scale-ai,Scale AI,US,technology,ai,scale.com,https://scale.com/careers,,,seed,
mercury,Mercury,US,finance-banking,fintech,mercury.com,,greenhouse,mercury,seed,
brex,Brex,US,finance-banking,fintech,brex.com,,greenhouse,brex,seed,
stripe,Stripe,US,finance-banking,fintech,stripe.com,,greenhouse,stripe,seed,
gusto,Gusto,US,technology,"fintech,hr",gusto.com,,greenhouse,gusto,seed,
checkr,Checkr,US,technology,"ai,saas",checkr.com,,greenhouse,checkr,seed,
airtable,Airtable,US,technology,"saas,devtools",airtable.com,,greenhouse,airtable,seed,
tempus,Tempus,US,healthcare-pharma,healthcare-ai,tempus.com,https://tempus.com/careers,,,seed,
abridge,Abridge,US,healthcare-pharma,healthcare-ai,abridge.com,https://abridge.com/careers,,,seed,
harvey,Harvey,US,technology,ai,harvey.ai,https://harvey.ai/careers,,,seed,legal AI
postman,Postman,IN,technology,"devtools,saas",postman.com,,greenhouse,postman,seed,IN + US offices
groww,Groww,IN,finance-banking,fintech,groww.in,,greenhouse,groww,seed,
meesho,Meesho,IN,retail-consumer,"saas,ecommerce",meesho.com,,lever,meesho,seed,Bangalore
cred,CRED,IN,finance-banking,fintech,cred.club,,lever,cred,seed,
razorpay,Razorpay,IN,finance-banking,fintech,razorpay.com,https://razorpay.com/jobs,,,seed,
phonepe,PhonePe,IN,finance-banking,fintech,phonepe.com,https://phonepe.com/careers,,,seed,
zerodha,Zerodha,IN,finance-banking,fintech,zerodha.com,https://zerodha.com/careers,,,seed,
swiggy,Swiggy,IN,retail-consumer,"saas,ecommerce",swiggy.com,https://careers.swiggy.com,,,seed,
zomato,Zomato,IN,retail-consumer,"saas,ecommerce",zomato.com,https://zomato.com/careers,,,seed,Eternal
freshworks,Freshworks,IN,technology,saas,freshworks.com,https://freshworks.com/company/careers,,,seed,
zoho,Zoho,IN,technology,saas,zoho.com,https://zoho.com/careers,,,seed,
browserstack,BrowserStack,IN,technology,devtools,browserstack.com,https://browserstack.com/careers,,,seed,
hasura,Hasura,IN,technology,devtools,hasura.io,https://hasura.io/careers,,,seed,
atlan,Atlan,IN,technology,"data,saas",atlan.com,https://atlan.com/careers,,,seed,
sarvam-ai,Sarvam AI,IN,technology,ai,sarvam.ai,https://sarvam.ai/careers,,,seed,IN AI
innovaccer,Innovaccer,IN,healthcare-pharma,healthcare-ai,innovaccer.com,https://innovaccer.com/careers,,,seed,
apple-inc,Apple Inc.,US,technology,"hardware,software,ai,cloud",apple.com,https://jobs.apple.com,,,fortune500,"World's largest company by market cap; hires across engineering, design, ML, and operations."
microsoft-corporation,Microsoft Corporation,US,technology,"cloud,ai,software,enterprise",microsoft.com,https://careers.microsoft.com,,,fortune500,"Azure, Office 365, GitHub, LinkedIn parent; massive engineering and PM hiring."
alphabet-inc-google,Alphabet Inc. (Google),US,technology,"cloud,ai,software,ads",google.com,https://careers.google.com,,,fortune500,"Google Cloud, Search, DeepMind; one of the largest tech employers in the US."
amazon-com-inc,"Amazon.com, Inc.",US,technology,"cloud,ecommerce,ai,logistics",amazon.com,https://www.amazon.jobs,,,fortune500,"AWS is dominant cloud provider; also hires heavily for Alexa, devices, and retail tech."
meta-platforms-inc,"Meta Platforms, Inc.",US,technology,"ai,social,ar-vr,ads",meta.com,https://www.metacareers.com,,,sp500,"Facebook, Instagram, WhatsApp, Oculus; heavy AI/ML and infrastructure hiring."
nvidia-corporation,NVIDIA Corporation,US,technology,"hardware,ai,gpu,data-center",nvidia.com,https://www.nvidia.com/en-us/about-nvidia/careers/,,,sp500,"GPU leader; massive hiring in AI infrastructure, CUDA, and data center."
salesforce-inc,"Salesforce, Inc.",US,technology,"saas,crm,ai,enterprise",salesforce.com,https://www.salesforce.com/company/careers/,,,sp500,Leading CRM and enterprise SaaS platform; Slack parent.
oracle-corporation,Oracle Corporation,US,technology,"cloud,enterprise,database,saas",oracle.com,https://www.oracle.com/corporate/careers/,,,fortune500,Cloud infrastructure and enterprise software; OCI growing fast.
intel-corporation,Intel Corporation,US,technology,"hardware,semiconductors,ai",intel.com,https://www.intel.com/content/www/us/en/jobs/jobs-at-intel.html,,,fortune500,"Major semiconductor company; hiring in chip design, foundry, and software."
ibm,IBM,US,technology,"cloud,ai,enterprise,consulting",ibm.com,https://www.ibm.com/careers,,,fortune500,"Watson AI, Red Hat (hybrid cloud), consulting; large enterprise employer."
cisco-systems-inc,"Cisco Systems, Inc.",US,technology,"networking,security,cloud,enterprise",cisco.com,https://jobs.cisco.com,,,sp500,Networking hardware and software; Splunk parent after 2024 acquisition.
